gpio,function,direction,signal_name,connect_to,voltage,notes
0,UART0_TX,output,DEBUG_TX,USB-C (debug),3.3V,Debug console TX
1,UART0_RX,input,DEBUG_RX,USB-C (debug),3.3V,Debug console RX
4,UART1_RX,input,RFID_TX,YRM100 Pin 4 (TXD),3.3V,Hub receives from RFID module
5,UART1_TX,output,RFID_RX,YRM100 Pin 3 (RXD),3.3V,Hub transmits to RFID module
6,GPIO,output,RFID_EN,YRM100 Pin 2 (EN),3.3V,Active HIGH to enable module (>1.5V)
8,RMT,output,WS2812_DATA,Onboard WS2812 LED,3.3V,Addressable RGB LED - strapping pin
9,GPIO,-,RESERVED,-,3.3V,Available for future use - strapping pin
10,GPIO,-,RESERVED,-,3.3V,Available for future use
12,USB,bidir,USB_D-,USB-C connector,3.3V,USB data minus
13,USB,bidir,USB_D+,USB-C connector,3.3V,USB data plus
18,GPIO,input,BUTTON,Momentary switch to GND,3.3V,Active LOW with internal pull-up
-,POWER,output,5V_RAIL,YRM100 Pin 5 (VCC),5V,Direct from USB - 260mA peak
-,POWER,output,3V3_RAIL,WS2812 VDD (onboard),3.3V,From ESP32-C6 onboard LDO
-,POWER,-,GND,Common ground,0V,Shared ground for all components
